type,latitude,longitude,alt,speed,course
T,50.905858,-114.030143,1036.800000,0.050000,174.380000
T,50.905858,-114.030143,1036.800000,0.050000,174.380000
T,50.905858,-114.030143,1036.800000,0.050000,174.380000
T,50.905858,-114.030143,1036.800000,0.050000,174.380000
T,50.905858,-114.030143,1036.800000,0.050000,174.380000
T,50.905858,-114.030143,1036.800000,0.050000,174.380000
T,50.905858,-114.030143,1036.800000,0.050000,174.380000
T,50.905857,-114.030140,1036.800000,0.240000,174.380000
T,50.905857,-114.030140,1036.800000,0.240000,174.380000
T,50.905857,-114.030140,1036.800000,0.240000,174.380000
T,50.905857,-114.030140,1036.800000,0.240000,174.380000
T,50.905857,-114.030140,1036.800000,0.240000,174.380000
T,50.905857,-114.030140,1036.800000,0.240000,174.380000
T,50.905857,-114.030140,1036.800000,0.240000,174.380000
T,50.905857,-114.030140,1036.800000,0.240000,174.380000
T,50.905857,-114.030140,1036.900000,0.240000,174.380000
T,50.905858,-114.030138,1036.900000,0.500000,174.380000
T,50.905858,-114.030138,1036.900000,0.500000,174.380000
T,50.905858,-114.030138,1036.900000,0.500000,174.380000
T,50.905858,-114.030138,1036.900000,0.500000,174.380000
T,50.905858,-114.030138,1036.900000,0.500000,174.380000
T,50.905858,-114.030138,1036.900000,0.500000,174.380000
T,50.905858,-114.030138,1036.900000,0.500000,174.380000
T,50.905858,-114.030138,1036.900000,0.500000,174.380000
T,50.905858,-114.030138,1036.900000,0.500000,174.380000
T,50.905858,-114.030138,1036.900000,0.500000,174.380000
T,50.905858,-114.030138,1036.900000,0.500000,174.380000
T,50.905858,-114.030138,1036.900000,0.500000,174.380000
T,50.905860,-114.030140,1036.900000,0.200000,174.380000
T,50.905860,-114.030140,1036.900000,0.200000,174.380000
T,50.905860,-114.030140,1036.900000,0.200000,174.380000
T,50.905860,-114.030140,1036.900000,0.200000,174.380000
T,50.905860,-114.030140,1036.900000,0.200000,174.380000
T,50.905860,-114.030140,1037.000000,0.200000,174.380000
T,50.905860,-114.030142,1037.000000,0.330000,174.380000
T,50.905860,-114.030142,1037.000000,0.330000,174.380000
T,50.905860,-114.030142,1037.000000,0.330000,174.380000
T,50.905860,-114.030142,1037.000000,0.330000,174.380000
T,50.905860,-114.030142,1037.000000,0.330000,174.380000
T,50.905860,-114.030142,1037.000000,0.330000,174.380000
T,50.905860,-114.030142,1037.000000,0.330000,174.380000
T,50.905860,-114.030142,1037.000000,0.330000,174.380000
T,50.905860,-114.030142,1037.100000,0.330000,174.380000
T,50.905860,-114.030142,1037.100000,0.330000,174.380000
T,50.905862,-114.030143,1037.100000,0.370000,174.380000
T,50.905862,-114.030143,1037.100000,0.370000,174.380000
T,50.905862,-114.030143,1037.100000,0.370000,174.380000
T,50.905862,-114.030143,1037.100000,0.370000,174.380000
T,50.905862,-114.030143,1037.100000,0.370000,174.380000
T,50.905862,-114.030143,1037.100000,0.370000,174.380000
T,50.905862,-114.030143,1037.100000,0.370000,174.380000
T,50.905862,-114.030143,1037.100000,0.370000,174.380000
T,50.905862,-114.030145,1037.100000,0.710000,307.820000
T,50.905862,-114.030145,1037.100000,0.710000,307.820000
T,50.905862,-114.030145,1037.100000,0.710000,307.820000
T,50.905862,-114.030145,1037.100000,0.710000,307.820000
T,50.905862,-114.030145,1037.100000,0.710000,307.820000
T,50.905862,-114.030145,1037.100000,0.710000,307.820000
T,50.905862,-114.030145,1037.100000,0.710000,307.820000
T,50.905862,-114.030145,1037.100000,0.710000,307.820000
T,50.905862,-114.030145,1037.000000,0.710000,307.820000
T,50.905862,-114.030145,1037.000000,0.710000,307.820000
T,50.905865,-114.030148,1037.000000,0.780000,332.820000
T,50.905865,-114.030148,1037.000000,0.780000,332.820000
T,50.905865,-114.030148,1037.000000,0.780000,332.820000
T,50.905865,-114.030148,1037.000000,0.780000,332.820000
T,50.905865,-114.030148,1037.000000,0.780000,332.820000
T,50.905865,-114.030148,1037.000000,0.780000,332.820000
T,50.905865,-114.030148,1037.000000,0.780000,332.820000
T,50.905865,-114.030148,1037.000000,0.780000,332.820000
T,50.905865,-114.030148,1037.000000,0.780000,332.820000
T,50.905865,-114.030148,1037.000000,0.780000,332.820000
T,50.905865,-114.030148,1037.000000,0.780000,332.820000
T,50.905865,-114.030148,1037.000000,0.300000,332.820000
T,50.905865,-114.030148,1037.000000,0.300000,332.820000
T,50.905865,-114.030148,1037.000000,0.300000,332.820000
T,50.905865,-114.030148,1037.000000,0.300000,332.820000
T,50.905865,-114.030148,1037.000000,0.300000,332.820000
T,50.905865,-114.030148,1037.000000,0.300000,332.820000
T,50.905865,-114.030148,1037.100000,0.300000,332.820000
T,50.905865,-114.030150,1037.100000,0.330000,332.820000
T,50.905865,-114.030150,1037.100000,0.330000,332.820000
T,50.905865,-114.030150,1037.100000,0.330000,332.820000
T,50.905865,-114.030150,1037.100000,0.330000,332.820000
T,50.905865,-114.030150,1037.100000,0.330000,332.820000
T,50.905865,-114.030150,1037.100000,0.330000,332.820000
T,50.905865,-114.030150,1037.100000,0.330000,332.820000
T,50.905865,-114.030150,1037.100000,0.330000,332.820000
T,50.905865,-114.030150,1037.100000,0.330000,332.820000
T,50.905865,-114.030150,1037.100000,0.330000,332.820000
T,50.905868,-114.030152,1037.100000,0.640000,348.550000
T,50.905868,-114.030152,1037.100000,0.640000,348.550000
T,50.905868,-114.030152,1037.100000,0.640000,348.550000
T,50.905868,-114.030152,1037.100000,0.640000,348.550000
T,50.905868,-114.030152,1037.100000,0.640000,348.550000
T,50.905868,-114.030152,1037.100000,0.640000,348.550000
T,50.905868,-114.030152,1037.100000,0.640000,348.550000
T,50.905868,-114.030152,1037.100000,0.640000,348.550000
T,50.905868,-114.030152,1037.200000,0.640000,348.550000
T,50.905873,-114.030152,1037.200000,0.650000,344.410000
T,50.905873,-114.030152,1037.200000,0.650000,344.410000
T,50.905873,-114.030152,1037.200000,0.650000,344.410000
T,50.905873,-114.030152,1037.200000,0.650000,344.410000
T,50.905873,-114.030152,1037.200000,0.650000,344.410000
T,50.905873,-114.030152,1037.200000,0.650000,344.410000
T,50.905873,-114.030152,1037.200000,0.650000,344.410000
T,50.905873,-114.030152,1037.200000,0.650000,344.410000
T,50.905873,-114.030152,1037.200000,0.650000,344.410000
T,50.905873,-114.030152,1037.200000,0.650000,344.410000
T,50.905875,-114.030152,1037.200000,0.600000,344.410000
T,50.905875,-114.030152,1037.200000,0.600000,344.410000
T,50.905875,-114.030152,1037.200000,0.600000,344.410000
T,50.905875,-114.030152,1037.200000,0.600000,344.410000
T,50.905875,-114.030152,1037.200000,0.600000,344.410000
T,50.905875,-114.030152,1037.200000,0.600000,344.410000
T,50.905875,-114.030152,1037.200000,0.600000,344.410000
T,50.905875,-114.030152,1037.200000,0.600000,344.410000
T,50.905875,-114.030152,1037.200000,0.600000,344.410000
T,50.905875,-114.030152,1037.200000,0.600000,344.410000
T,50.905875,-114.030152,1037.200000,0.600000,344.410000
T,50.905872,-114.030148,1037.200000,0.220000,344.410000
T,50.905872,-114.030148,1037.200000,0.220000,344.410000
T,50.905872,-114.030148,1037.200000,0.220000,344.410000
T,50.905872,-114.030148,1037.200000,0.220000,344.410000
T,50.905872,-114.030148,1037.200000,0.220000,344.410000
T,50.905872,-114.030148,1037.200000,0.220000,344.410000
T,50.905872,-114.030148,1037.300000,0.220000,344.410000
T,50.905872,-114.030148,1037.300000,0.220000,344.410000
T,50.905867,-114.030145,1037.300000,0.260000,344.410000
T,50.905867,-114.030145,1037.300000,0.260000,344.410000
T,50.905867,-114.030145,1037.300000,0.260000,344.410000
T,50.905867,-114.030145,1037.300000,0.260000,344.410000
T,50.905867,-114.030145,1037.300000,0.260000,344.410000
T,50.905867,-114.030145,1037.300000,0.260000,344.410000
T,50.905867,-114.030145,1037.300000,0.260000,344.410000
T,50.905867,-114.030145,1037.300000,0.260000,344.410000
T,50.905867,-114.030145,1037.400000,0.260000,344.410000
T,50.905867,-114.030147,1037.400000,0.190000,344.410000
T,50.905867,-114.030147,1037.400000,0.190000,344.410000
T,50.905867,-114.030147,1037.400000,0.190000,344.410000
T,50.905867,-114.030147,1037.400000,0.190000,344.410000
T,50.905867,-114.030147,1037.400000,0.190000,344.410000
T,50.905867,-114.030147,1037.400000,0.190000,344.410000
T,50.905867,-114.030147,1037.400000,0.190000,344.410000
T,50.905867,-114.030147,1037.400000,0.190000,344.410000
T,50.905867,-114.030147,1037.400000,0.190000,344.410000
T,50.905867,-114.030147,1037.400000,0.790000,191.500000
T,50.905867,-114.030147,1037.400000,0.790000,191.500000
T,50.905867,-114.030147,1037.400000,0.790000,191.500000
T,50.905867,-114.030147,1037.400000,0.790000,191.500000
T,50.905867,-114.030147,1037.400000,0.790000,191.500000
T,50.905867,-114.030147,1037.400000,0.790000,191.500000
T,50.905867,-114.030147,1037.400000,0.790000,191.500000
T,50.905867,-114.030147,1037.400000,0.790000,191.500000
T,50.905867,-114.030147,1037.300000,0.790000,191.500000
T,50.905857,-114.030147,1037.300000,1.120000,177.210000
T,50.905857,-114.030147,1037.300000,1.120000,177.210000
T,50.905857,-114.030147,1037.300000,1.120000,177.210000
T,50.905857,-114.030147,1037.300000,1.120000,177.210000
T,50.905857,-114.030147,1037.300000,1.120000,177.210000
T,50.905857,-114.030147,1037.300000,1.120000,177.210000
T,50.905857,-114.030147,1037.300000,1.120000,177.210000
T,50.905857,-114.030147,1037.300000,1.120000,177.210000
T,50.905857,-114.030147,1037.300000,1.120000,177.210000
T,50.905857,-114.030147,1037.000000,1.120000,177.210000
T,50.905857,-114.030147,1037.000000,1.120000,177.210000
T,50.905857,-114.030147,1037.000000,1.120000,177.210000
T,50.905843,-114.030150,1037.000000,0.820000,165.220000
T,50.905843,-114.030150,1037.000000,0.820000,165.220000
T,50.905843,-114.030150,1037.000000,0.820000,165.220000
T,50.905843,-114.030150,1037.000000,0.820000,165.220000
T,50.905843,-114.030150,1037.000000,0.820000,165.220000
T,50.905843,-114.030150,1037.000000,0.820000,165.220000
T,50.905843,-114.030150,1036.700000,0.820000,165.220000
T,50.905835,-114.030152,1036.700000,0.380000,165.220000
T,50.905835,-114.030152,1036.700000,0.380000,165.220000
T,50.905835,-114.030152,1036.700000,0.380000,165.220000
T,50.905835,-114.030152,1036.700000,0.380000,165.220000
T,50.905835,-114.030152,1036.700000,0.380000,165.220000
T,50.905835,-114.030152,1036.700000,0.380000,165.220000
T,50.905835,-114.030152,1036.700000,0.380000,165.220000
T,50.905835,-114.030152,1036.700000,0.380000,165.220000
T,50.905835,-114.030152,1036.500000,0.380000,165.220000
T,50.905835,-114.030152,1036.500000,0.380000,165.220000
T,50.905833,-114.030153,1036.500000,0.370000,165.220000
T,50.905833,-114.030153,1036.500000,0.370000,165.220000
T,50.905833,-114.030153,1036.500000,0.370000,165.220000
T,50.905833,-114.030153,1036.500000,0.370000,165.220000
T,50.905833,-114.030153,1036.500000,0.370000,165.220000
T,50.905833,-114.030153,1036.500000,0.370000,165.220000
T,50.905833,-114.030153,1036.500000,0.370000,165.220000
T,50.905833,-114.030153,1036.400000,0.370000,165.220000
T,50.905833,-114.030153,1036.400000,0.370000,165.220000
